iter	Passed	Remaining
309	32943	73326
310	33038	73193
311	33136	73071
312	33278	73043
313	33398	72965
314	33441	72721
315	33464	72434
316	33639	72478
317	33743	72367
318	33834	72230
319	33854	71940
320	33882	71670
321	33968	71524
322	34162	71604
323	34289	71542
324	34362	71368
325	34439	71203
326	34655	71323
327	34776	71248
328	34886	71152
329	35015	71091
330	35034	70810
331	35049	70522
332	35064	70233
333	35167	70124
334	35263	70001
335	35377	69912
336	35501	69844
337	35521	69571
338	35538	69294
339	35619	69144
340	35741	69071
341	35842	68959
342	35937	68837
343	35990	68633
344	36078	68496
345	36193	68411
346	36309	68329
347	36472	68334
348	36665	68392
349	36730	68214
350	36868	68169
351	36971	68060
352	37145	68081
353	37250	67976
354	37453	68049
355	37582	67985
356	37677	67861
357	37751	67700
358	37848	67578
359	39567	70342
360	40066	70921
361	40209	70866
362	40473	71023
363	40709	71130
364	40779	70945
365	40808	70690
366	40867	70488
367	40929	70291
368	41052	70201
369	41111	70000
370	41208	69866
371	41302	69725
372	41425	69634
373	41524	69504
374	41623	69372
375	41687	69184
376	41749	68991
377	41818	68813
378	41867	68601
379	41966	68471
380	42052	68321
381	42151	68192
382	42251	68066
383	42353	67942
384	42411	67747
385	42473	67562
386	42575	67438
387	42600	67194
388	42699	67068
389	42835	66999
390	42935	66874
391	42997	66689
392	43021	66447
393	43124	66329
394	43264	66266
395	43363	66140
396	43426	65960
397	43588	65930
398	43728	65866
399	43747	65620
400	43795	65420
401	43897	65300
402	43996	65176
403	44085	65037
404	44349	65155
405	44594	65244
406	44701	65130
407	44748	64928
408	44811	64751
409	44911	64629
410	45012	64507
411	45106	64374
412	45206	64252
413	45305	64128
414	45405	64005
415	45544	63937
416	45643	63812
417	45854	63845
418	45914	63666
419	45932	63430
420	45994	63256
421	46016	63027
422	46089	62868
423	46147	62691
424	46205	62513
425	46303	62390
426	46403	62269
427	46461	62093
428	46561	61973
429	46660	61852
430	46768	61743
431	46869	61625
432	46910	61427
433	46970	61256
434	47056	61119
435	47100	60928
436	47199	60807
437	47218	60585
438	47264	60400
439	47323	60230
440	47387	60067
441	47432	59880
442	47490	59712
443	47602	59610
444	47702	59493
445	47842	59427
446	47860	59209
447	47918	59042
448	47979	58879
449	48106	58796
450	48165	58631
451	48226	58469
452	48283	58302
453	48331	58125
454	48393	57966
455	48504	57865
456	48675	57835
457	48807	57759
458	48827	57550
459	49022	57548
460	49311	57654
461	49406	57534
462	49460	57365
463	49519	57203
464	49622	57092
465	49640	56883
466	49738	56767
467	49903	56728
468	49921	56521
469	49986	56367
470	50148	56324
471	50249	56211
472	50296	56039
473	50436	55969
474	50494	55810
475	50554	55652
476	50591	55470
477	50735	55405
478	50755	55206
479	50855	55093
480	50927	54950
481	50983	54791
482	51031	54623
483	51088	54465
484	51148	54312
485	51207	54157
486	51356	54097
487	51543	54078
488	51562	53882
489	51636	53744
490	51749	53646
491	51811	53496
492	51835	53307
493	51872	53132
494	52035	53086
495	52116	52957
496	52136	52766
497	52201	52620
498	52226	52435
499	52319	52319
500	52571	52361
501	52848	52427
502	52953	52322
503	53059	52217
504	53089	52038
505	53163	51902
506	53277	51806
507	53407	51724
508	53514	51621
509	53656	51552
510	53952	51629
511	54251	51708
512	54689	51917
513	54714	51733
514	54787	51596
515	54819	51420
516	54838	51232
517	54957	51138
518	55119	51083
519	55227	50979
520	55253	50799
521	55372	50705
522	55554	50668
523	55670	50570
524	55731	50423
525	55793	50278
526	55850	50127
527	55991	50052
528	56036	49892
529	56095	49745
530	56155	49598
531	56256	49488
532	56349	49371
533	56407	49224
534	56507	49114
535	56567	48968
536	56668	48859
537	56731	48716
538	56830	48606
539	56943	48507
540	56961	48328
541	56980	48149
542	57074	48035
543	57216	47960
544	57275	47817
545	57375	47707
546	57393	47530
547	57495	47422
548	57616	47331
549	57730	47233
550	57789	47091
551	57847	46948
552	57953	46844
553	58013	46704
554	58172	46642
555	58265	46528
556	58308	46374
557	58403	46262
558	58443	46106
559	58566	46016
560	58639	45887
561	58681	45733
562	58769	45616
563	58842	45488
564	58903	45350
565	59040	45271
566	59092	45127
567	59115	44961
568	59142	44798
569	59299	44734
570	59419	44642
571	59599	44595
572	59964	44685
573	59983	44517
574	60065	44395
575	60173	44294
576	60235	44158
577	60297	44023
578	60320	43859
579	60347	43699
580	60377	43542
581	60404	43383
582	60466	43249
583	60566	43143
584	60586	42980
585	60667	42860
586	60730	42728
587	60869	42649
588	60968	42543
589	61061	42432
590	61226	42371
591	61287	42238
592	61347	42105
593	61406	41971
594	61429	41813
595	61494	41684
596	61513	41524
597	61670	41457
598	61770	41352
599	61871	41247
600	62003	41163
601	62064	41032
602	62086	40876
603	62176	40764
604	62277	40660
605	62377	40555
606	62420	40414
607	62479	40282
608	62567	40170
609	62627	40040
610	62689	39911
611	62821	39828
612	62885	39700
613	62973	39589
614	63061	39477
615	63120	39347
616	63254	39264
617	63516	39261
618	63620	39158
619	63639	39005
620	63740	38901
621	63842	38798
622	63902	38669
623	63989	38557
624	64011	38406
625	64072	38279
626	64131	38151
627	64238	38051
628	64296	37923
629	64355	37796
630	64444	37686
631	64504	37559
632	64566	37434
633	64633	37311
634	64696	37187
635	64716	37039
636	64818	36937
637	64890	36818
638	64977	36708
639	65077	36606
640	65181	36505
641	65311	36420
642	65452	36339
643	65514	36215
644	65583	36096
645	65644	35972
646	65745	35870
647	65833	35761
648	65927	35655
649	66017	35548
650	66102	35437
651	66161	35313
652	66303	35233
653	66361	35108
654	66787	35178
655	67007	35138
656	67089	35025
657	67188	34921
658	67352	34851
659	67494	34770
660	67551	34644
661	68918	35187
662	69607	35381
663	69901	35372
664	70127	35327
665	70148	35179
666	70240	35067
667	70397	34988
668	70468	34865
669	70534	34740
670	70593	34612
671	70615	34467
672	70779	34390
673	70839	34263
674	70899	34136
675	70980	34020
676	71024	33886
677	71123	33778
678	71185	33653
679	71244	33526
680	71305	33401
681	71363	33275
682	71425	33150
683	71486	33025
684	71511	32884
685	71534	32743
686	71596	32619
687	71696	32513
688	71755	32388
689	71858	32284
690	71957	32177
691	72009	32050
692	72148	31961
693	72207	31837
694	72228	31697
695	72287	31573
696	72337	31446
697	72357	31306
698	72416	31183
699	72477	31061
700	72494	30921
701	72524	30786
702	72583	30664
703	72711	30572
704	72732	30434
705	72876	30347
706	72927	30223
707	72966	30093
708	73065	29988
709	73167	29885
710	73561	29900
711	73786	29846
712	74232	29880
713	74679	29913
714	74884	29848
715	74929	29720
716	74982	29595
717	75056	29479
718	75088	29345
719	75173	29234
720	75193	29097
721	75294	28991
722	75382	28880
723	75449	28762
724	75507	28640
725	75588	28527
726	75681	28419
727	75781	28313
728	75885	28209
729	75978	28101
730	76161	28026
731	76260	27920
732	76318	27799
733	76495	27721
734	76517	27587
735	76576	27467
736	76728	27380
737	76828	27275
738	76863	27146
739	76914	27024
740	76933	26890
741	76966	26761
742	77027	26643
743	77092	26526
744	77193	26422
745	77293	26317
746	77364	26202
747	77379	26068
748	77501	25971
749	77560	25853
750	77619	25735
751	77647	25606
752	77705	25489
753	77824	25390
754	77882	25273
755	77934	25153
756	77953	25023
757	78002	24903
758	78102	24799
759	78294	24724
760	78314	24595
761	78329	24465
762	78386	24348
763	78480	24242
764	78619	24151
765	78671	24032
766	78743	23920
767	78761	23792
768	78821	23677
769	78840	23549
770	78989	23461
771	79058	23348
772	79109	23231
773	79169	23116
774	79277	23016
775	79324	22897
776	79399	22787
777	79474	22677
778	79778	22632
779	79852	22522
780	79967	22423
781	80018	22306
782	80064	22189
783	80082	22063
784	80141	21949
785	80213	21839
786	80238	21716
787	80297	21602
788	80318	21479
789	80417	21376
790	80479	21264
791	80514	21145
792	80633	21047
793	80693	20935
794	80804	20836
795	80904	20734
796	80986	20627
797	81172	20547
798	81312	20455
799	81371	20342
800	81432	20231
801	81477	20115
802	81539	20004
803	81611	19895
804	81671	19783
805	81730	19672
806	81801	19563
807	81897	19460
808	81943	19346
809	82084	19254
810	82184	19152
811	82244	19041
812	82321	18935
813	82382	18824
814	82623	18754
815	82723	18653
816	82742	18533
817	82890	18442
818	82923	18326
819	83021	18224
820	83120	18122
821	83180	18012
822	83253	17905
823	83354	17803
824	83472	17706
825	83571	17604
826	83691	17507
827	83792	17406
828	83873	17300
829	83929	17190
830	84029	17088
831	84088	16979
832	84148	16870
833	84210	16761
834	84351	16668
835	84415	16560
836	84439	16444
837	84534	16342
838	84642	16242
839	84742	16141
840	84803	16032
841	84889	15929
842	84983	15827
843	85041	15718
844	85152	15619
845	85253	15518
846	85353	15418
847	85380	15304
848	85440	15196
849	85481	15085
850	85500	14970
851	85560	14862
852	85730	14774
853	85831	14673
854	85879	14564
855	85897	14450
856	85967	14344
857	86029	14237
858	86130	14137
859	86191	14031
860	86254	13924
861	86275	13812
862	86376	13712
863	86516	13618
864	86623	13519
865	86646	13407
866	86665	13294
867	86684	13182
868	86744	13076
869	86804	12970
870	86825	12859
871	86918	12758
872	86940	12647
873	86959	12536
874	87062	12437
875	87201	12343
876	87228	12233
877	87287	12128
878	87433	12035
879	87523	11935
880	87583	11830
881	87602	11720
882	87664	11615
883	87724	11511
884	87782	11406
885	87881	11307
886	88008	11211
887	88108	11112
888	88209	11013
889	88227	10904
890	88286	10800
891	88533	10719
892	88604	10616
893	88830	10532
894	88934	10433
895	89081	10339
896	89273	10251
897	89333	10146
898	89437	10047
899	89497	9944
900	89571	9841
901	89594	9734
902	89634	9628
903	89761	9532
904	89829	9429
905	89951	9332
906	90113	9239
907	90194	9138
908	90275	9037
909	90296	8930
910	90480	8839
911	90546	8736
912	90566	8630
913	90669	8531
914	90729	8428
915	90796	8326
916	90854	8223
917	90934	8122
918	91035	8023
919	91229	7932
920	91374	7837
921	91435	7735
922	91498	7633
923	91600	7534
924	91703	7435
925	91854	7340
926	92009	7245
927	92149	7149
928	92168	7044
929	92234	6942
930	92308	6841
931	92366	6739
932	92475	6640
933	92534	6538
934	92673	6442
935	92757	6342
936	92817	6240
937	92945	6143
938	93005	6041
939	93168	5946
940	93269	5847
941	93409	5751
942	93468	5649
943	93555	5549
944	93654	5450
945	93754	5351
946	93856	5252
947	93946	5153
948	94045	5054
949	94104	4952
950	94182	4852
951	94298	4754
952	94328	4652
953	94427	4553
954	94562	4455
955	94583	4353
956	94682	4254
957	94866	4159
958	94920	4058
959	95048	3960
960	95150	3861
961	95210	3760
962	95292	3661
963	95377	3561
964	95541	3465
965	95602	3364
966	95759	3267
967	95819	3167
968	95837	3066
969	95940	2967
970	96021	2867
971	96081	2767
972	96155	2668
973	96190	2567
974	96209	2466
975	96266	2367
976	96284	2266
977	96383	2168
978	96403	2067
979	96463	1968
980	96604	1871
981	96663	1771
982	96804	1674
983	96890	1575
984	96949	1476
985	97050	1377
986	97150	1279
987	97223	1180
988	97240	1081
989	97343	983
990	97432	884
991	97520	786
992	97619	688
993	97640	589
994	98025	492
995	98194	394
996	98448	296
997	98724	197
998	98909	99
999	98955	0
