iter	MultiClass
0	1.57875281
1	1.555454276
2	1.53555739
3	1.510037834
4	1.491120334
5	1.458155598
6	1.43414613
7	1.401155919
8	1.385707215
9	1.348135172
10	1.325136993
11	1.291823531
12	1.269307325
13	1.251445334
14	1.230914889
15	1.209618468
16	1.191938022
17	1.172552541
18	1.156829843
19	1.143280801
20	1.127391514
21	1.101578182
22	1.086392476
23	1.068457622
24	1.048217232
25	1.026820566
26	1.011076365
27	0.9979685846
28	0.9852658683
29	0.9616641818
30	0.9393232124
31	0.9289907392
32	0.9079171044
33	0.8968628666
34	0.8850011961
35	0.8745873155
36	0.8651636706
37	0.8513848143
38	0.8431361443
39	0.8326942855
40	0.8186016229
41	0.8058038024
42	0.7955459596
43	0.7799147028
44	0.7665182227
45	0.7566503235
46	0.7423930911
47	0.7316191917
48	0.7207954382
49	0.7150909781
50	0.7044827761
51	0.6917658154
52	0.6799147592
53	0.6688737632
54	0.6625557584
55	0.6537408349
56	0.6490375972
57	0.6422963826
58	0.6340298341
59	0.626717726
60	0.6188029369
61	0.6091534826
62	0.5994773684
63	0.590785162
64	0.5838093549
65	0.5768798674
66	0.5712455297
67	0.5628978248
68	0.5568933222
69	0.5483041254
70	0.5425536721
71	0.5370911793
72	0.5323159172
73	0.5271555588
74	0.5205048539
75	0.5137766083
76	0.507930023
77	0.5045452124
78	0.4991891496
79	0.4923917394
80	0.4872311328
81	0.4794423327
82	0.4738278151
83	0.4686376297
84	0.4630108653
85	0.4595040234
86	0.455001929
87	0.4500582915
88	0.4467370746
89	0.4415321052
90	0.4378174093
91	0.433953915
92	0.4305647793
93	0.4252940674
94	0.4210880859
95	0.4167336375
96	0.412532781
97	0.4085090074
98	0.4046678898
99	0.3997589535
100	0.3970966838
101	0.3929422504
102	0.3893486008
103	0.3838037937
104	0.3808783778
105	0.3774120563
106	0.3748636586
107	0.3716461864
108	0.3685645566
109	0.36554588
110	0.3615584744
111	0.3584624975
112	0.3557809601
113	0.3526495025
114	0.3472397214
115	0.3436745292
116	0.3414473868
117	0.3385422415
118	0.3343843829
119	0.3309822366
120	0.3278710337
121	0.3252636656
122	0.3219384668
123	0.3193911985
124	0.3164643601
125	0.3128089496
126	0.3100711962
127	0.3061544855
128	0.3024792001
129	0.3003064156
130	0.29853278161131	0.29522306821132	0.291919621
133	0.2898561415
134	0.2873863479
135	0.2851011045
136	0.2827748827
137	0.2805233049
138	0.2781678288
139	0.2759607129
140	0.273339031
141	0.2711217398
142	0.2691230396
143	0.2668392467
144	0.2647389511
145	0.2625312268
146	0.2597998464
147	0.2569735361
148	0.2545616718
149	0.2518715776
150	0.2501183608
151	0.2481678126
152	0.2464753956
153	0.2439856995
154	0.242185886
155	0.2406699227
156	0.2386600561
157	0.237447942
158	0.2350416132
159	0.2333798777
160	0.2314127625
161	0.2294708515
162	0.2277818206
163	0.2260075583
164	0.2246017694
165	0.2228897026
166	0.2206249766
167	0.2188439587
168	0.2173490468
169	0.21585405431170	0.21439405891171	0.212814721
172	0.2112522286
173	0.2098763016
174	0.2082420689
175	0.2070946074
176	0.2055098195
177	0.2038968635
178	0.2025928429
179	0.201028578
180	0.1987096472
181	0.1975493692
182	0.1966276253
183	0.1953816561
184	0.1942141809
185	0.1931023181
186	0.1916237555
187	0.1904001986
188	0.18930016351189	0.18798196519190	0.18659032719191	0.18529671519192	0.18394039219193	0.18266974219194	0.18168750119195	0.18035189196196	0.17907717197197	0.17789944198198	0.17710959199199	0.17586520200200	0.1747946201	201	0.1735731202	202	0.1724098203	203	0.1713812204	204	0.1702147205	205	0.1692863206	206	0.1683636207	207	0.1672580208208	0.1661919209	209	0.165146210	0210	0.164134211	0211	0.163460212	0212	0.162408213213	0.16128932214214	0.16017022215215	0.1592845216	216	0.1584426217	217	0.1574603218218	0.15682459219219	0.15579225220220	0.15476107221221	0.15416738222222	0.15327287223223	0.1523567224224	0.15147030225225	0.15059780226226	0.14969804227227	0.148833228	0228	0.147875229	0229	0.146960230	0230	0.146126231	231	0.145216232	0232	0.144370233	0233	0.143476234	0234	0.142762235	0235	0.141871236	0236	0.141077237	0237	0.140199238	0238	0.139346239	0239	0.138624240	0240	0.137914241	0241	0.137071242	0242	0.13645243	0.243	0.13563244	244	0.1348539245	245	0.1341942246	246	0.1333797247	247	0.1327567248	248	0.1320127249249	0.13106429250250	0.1303825425251	0.12974709225252	0.12901067625253	0.12826130625254	0.12752790925255	0.12683987025256	0.12624993425257	0.12561537025258	0.12505960225259	0.12435808226260	0.12373667226261	0.12312711926262	0.12253104126263	0.12184938926264	0.12122197026265	0.12062995126266	0.12004617026267	0.11940151426268	0.11889664426269	0.11833780527270	0.1177249522271	0.11711074722272	0.11663057012273	0.11615280232274	0.11577081482275	0.11511405927276	0.11451527527277	0.11393879827278	0.11337455527279	0.11286483528280	0.11227152128281	0.11180826928282	0.11135259628283	0.11080382928284	0.11023313028285	0.10969449128286	0.10918869628287	0.10872215628288	0.10814721928289	0.10761667229290	0.10712791629291	0.10657956629292	0.10613113329293	0.10565637029294	0.10518588329295	0.10469210429296	0.10419215929297	0.10369938829298	0.10327925929299	0.10261158930300	0.10214610430301	0.10170985830302	0.10124358130303	0.10078610430304	0.10031655323305	0.099935437943306	0.099261896753307	0.098856800233308	0.098457198303309	0.098169283103310	0.0976235311	311	0.097126312	0.312	0.09663313	0.1313	0.0962314	0.13314	0.095315	0.103315	0.09316	0.1033316	0.0317	0.10283317	0.318	0.102463318	0319	0.1020163319	320	0.10159393320321	0.10114551332322	0.10075583433323	0.10029337593324	0.099851272932325	0.099471036432326	0.099003212832327	0.098588341532328	0.098238196732329	0.097826236332330	0.097456902833331	0.097016614433332	0.09666606913333	0.096312269863334	0.095905139663335	0.095457187333336	0.0950665618
337	0.09471976678
338	0.09434451844
339	0.09402248992
340	0.09361774508
341	0.09319439554
342	0.09279369347
343	0.09241199394
344	0.09209470489
345	0.09178470466
346	0.09152933816
347	0.09114926176
348	0.09083920853
349	0.0905243564
350	0.09014630864
351	0.089847672283352	0.089513666393353	0.089182100435354	0.088812294935355	0.088525061235356	0.088286627935357	0.087951606357358	0.08759122535359	0.087357501735360	0.087079150036361	0.086764245836362	0.086496893936363	0.086171684936364	0.085900479836365	0.085579580236366	0.08530189353367	0.085079648393368	0.084739971363369	0.084389998983370	0.0840795338
371	0.08377136028
372	0.08344161995
373	0.08311456902
374	0.08286063259
375	0.08264359394
376	0.08233430966
377	0.08204573715
378	0.08178184536
379	0.08156846961
380	0.08126611114
381	0.08102695709
382	0.08077568908
383	0.08046959249
384	0.08017279196
385	0.07987425493
386	0.07959415112
387	0.07932413287
388	0.07907999782
389	0.07880532676
390	0.0785325801
391	0.07828923164
392	0.07803109149
393	0.07780438927
394	0.0775745398
395	0.07729324736
396	0.07706243602
