iter	Passed	Remaining
402	11227	16633
403	11243	16587
404	11262	16545
405	11278	16500
406	11293	16454
407	11378	16510
408	11403	16478
409	11420	16434
410	11442	16398
411	11460	16355
412	11496	16340
413	11514	16297
414	11533	16258
415	11551	16215
416	11568	16174
417	11584	16129
418	11599	16084
419	11615	16040
420	11631	15997
421	11672	15987
422	11688	15944
423	11705	15901
424	11735	15878
425	11754	15838
426	11773	15799
427	11789	15756
428	11877	15808
429	11920	15801
430	11939	15762
431	11957	15721
432	11975	15681
433	11991	15638
434	12006	15594
435	12021	15551
436	12069	15550
437	12089	15511
438	12107	15472
439	12132	15441
440	12156	15409
441	12172	15367
442	12188	15324
443	12203	15282
444	12262	15293
445	12281	15255
446	12312	15232
447	12330	15193
448	12348	15153
449	12364	15112
450	12402	15096
451	12417	15055
452	12433	15013
453	12448	14970
454	12463	14929
455	12481	14890
456	12569	14934
457	12599	14910
458	12617	14871
459	12636	14834
460	12652	14793
461	12673	14758
462	12690	14719
463	12706	14678
464	12722	14637
465	12737	14596
466	12756	14558
467	12958	14730
468	12986	14702
469	13003	14663
470	13037	14642
471	13052	14601
472	13068	14560
473	13084	14519
474	13123	14504
475	13142	14467
476	13160	14429
477	13176	14389
478	13255	14417
479	13298	14406
480	13322	14374
481	13337	14334
482	13353	14293
483	13371	14256
484	13507	14342
485	13540	14320
486	13556	14280
487	13573	14241
488	13604	14216
489	13622	14178
490	13643	14143
491	13659	14103
492	13674	14062
493	13714	14047
494	13762	14040
495	13787	14009
496	13803	13969
497	13818	13929
498	13835	13890
499	13868	13868
500	13883	13827
501	13899	13788
502	13915	13749
503	13950	13729
504	13968	13692
505	13990	13659
506	14007	13620
507	14041	13599
508	14060	13563
509	14075	13523
510	14114	13506
511	14133	13470
512	14153	13436
513	14168	13396
514	14183	13356
515	14199	13319
516	14216	13281
517	14235	13245
518	14261	13217
519	14276	13178
520	14292	13140
521	14307	13101
522	14348	13086
523	14366	13050
524	14385	13015
525	14404	12980
526	14421	12944
527	14437	12906
528	14452	12867
529	14467	12829
530	14489	12797
531	14662	12898
532	14678	12860
533	14693	12822
534	14712	12787
535	14728	12749
536	14743	12711
537	14761	12676
538	14784	12645
539	14799	12606
540	14814	12569
541	14831	12533
542	14922	12559
543	15042	12608
544	15155	12652
545	15205	12643
546	15227	12610
547	15242	12572
548	15258	12534
549	15273	12496
550	15288	12458
551	15304	12420
